place_id,place_name,category,tags,location
1,"Ryan, Potts and Klein",Museum,"luxury,indoor,family-friendly",Amandabury
2,Hansen and Sons,Restaurant,"romantic,family-friendly,indoor",New Michelleberg
3,Hamilton-Hogan,Library,"vegan,luxury,tourist-friendly",Kimberlybury
4,Williams and Sons,Bar,"luxury,outdoor,romantic",Farleyton
5,Hill LLC,Cinema,"romantic,cheap,pet-friendly",Melendeztown
6,Banks LLC,Library,"trendy,vegan,romantic",Abigailside
7,Roberts Ltd,Restaurant,"indoor,trendy,romantic",Parkshaven
8,Oliver-Mora,Library,"luxury,pet-friendly,outdoor",Katherineland
9,Gates PLC,Gym,"cheap,vegan,indoor",Hawkinsport
10,Mcneil Group,Park,"pet-friendly,indoor,cheap",North Victoria
11,"Tanner, Wolfe and Smith",Museum,"trendy,vegan,outdoor",Smithhaven
12,"Coffey, Bradley and Oconnell",Cafe,"cheap,family-friendly,outdoor",South Vincent
13,Turner-Hall,Gym,"family-friendly,cheap,romantic",Port Elizabeth
14,"Nguyen, Miller and Waller",Shopping Mall,"tourist-friendly,romantic,trendy",Jacksonchester
15,Sparks-Anderson,Gym,"tourist-friendly,cheap,family-friendly",Port David
16,Dunn-Williams,Park,"family-friendly,outdoor,trendy",Beckstad
17,"Rivers, Hernandez and Rice",Library,"trendy,vegan,luxury",North Carlaland
18,"Brooks, Johnson and Hudson",Library,"luxury,vegan,family-friendly",Debbiemouth
19,Sanchez-Stanley,Shopping Mall,"outdoor,indoor,pet-friendly",Curtishaven
20,"Huang, Key and Cooper",Park,"outdoor,romantic,luxury",Nunezberg
21,"Matthews, Mcguire and Jefferson",Museum,"family-friendly,romantic,luxury",Jeffreybury
22,Clark LLC,Shopping Mall,"romantic,pet-friendly,trendy",East Marissa
23,"Martinez, Kane and Cook",Beach,"outdoor,vegan,tourist-friendly",Frederickberg
24,Jones PLC,Beach,"luxury,romantic,indoor",Port Jesus
25,Jefferson-Scott,Gym,"trendy,romantic,cheap",Piercehaven
26,"Moreno, Alvarez and Mcknight",Library,"trendy,family-friendly,luxury",West Johnview
